companyId;companyName;companyRegistrationNumber;companyFoundationDate;country;zipCode;city;streetAddress;latitude;longitude;companyOwner;employees;activity;active;email;password
1;Mauris PC;177874-5578;1990-05-01;Belarus;71137;Villa Verde;P.O. Box 391, 1457 Sed St.;50.67063;-75.377;Travis Elliott;11;Car;false;Donec.sollicitudin@Duisacarcu.com;felis
2;Magna Lorem Inc.;896098-0855;1991-10-22;Philippines;60934;Bahawalnagar;6753 Sit Street;4.69671;-101.06612;Hamilton Pearson;62;Building Industry;false;metus.facilisis@Proinsedturpis.ca;sem,
3;Egestas Hendrerit Neque LLP;615308-4733;1994-06-10;Western Sahara;442580;Lagundo/Algund;P.O. Box 857, 1455 Nullam Street;89.75893;-125.99941;Todd Douglas;230;Building Industry;true;lacus.Quisque@posuerecubiliaCurae.org;vestibulum
4;Ipsum Ac Mi Company;609476-5515;1984-11-28;Northern Mariana Islands;64967;Lonquimay;Ap #191-7809 Nec Ave;71.41273;-64.46302;Hayes Harper;491;Growing Plants;false;convallis.dolor@perinceptos.ca;nulla.
5;Nibh Phasellus Nulla Consulting;875175-2307;2013-12-12;French Guiana;61307;Pelluhue;P.O. Box 371, 6261 Non, St.;-17.6394;55.73754;Norman Walls;401;IT;true;massa.non.ante@auctor.co.uk;nec
6;Ac Corp.;047597-1263;1990-05-12;United Arab Emirates;6648;Flawinne;481-9974 Vestibulum Road;81.445;-103.01562;Jerry Herman;399;Car;true;ornare.sagittis@orciadipiscing.org;ornare,
7;Ut Molestie Company;387343-2466;2019-11-08;Algeria;DB15 0TF;Lacombe County;Ap #781-3660 Leo. Av.;-11.06026;-150.11469;Nicholas Stuart;177;Building Industry;true;Donec@Etiam.com;nonummy
8;Justo Eu Arcu Inc.;495058-7198;2015-07-02;Denmark;2116;Selkirk;Ap #385-8575 Nullam Rd.;9.44015;-126.00997;Amery Huber;326;Food;false;mollis.dui.in@utpharetrased.co.uk;vulputate
9;Eu Institute;496281-9175;2000-06-11;Albania;09469;Pittsburgh;P.O. Box 924, 1815 Elit. Av.;-83.85754;21.33176;Gage Duncan;99;Food;true;Nunc@ac.org;Sed
10;Rutrum Consulting;404429-0841;1995-12-02;Korea, North;528938;Kamarhati;Ap #732-2307 Augue St.;86.50586;-94.0342;Hashim Curry;132;Growing Plants;false;quis.turpis@conubianostra.org;congue.
11;Dapibus Quam Limited;874092-9669;2014-09-14;Nauru;Z5 0NG;Laon;150-2314 Dis Rd.;-61.5783;-113.5335;Paki Elliott;439;Building Industry;false;non.nisi@et.org;dolor
12;Ac Institute;147153-5631;2020-06-25;Ecuador;8918;Westmount;757-1405 Tempor, Rd.;-29.21539;80.31999;Nathaniel Summers;202;Growing Plants;true;ullamcorper.magna@massaQuisque.ca;In
13;Adipiscing Fringilla Consulting;943211-1384;2008-07-01;Armenia;V9N 3K8;La Cisterna;389-4506 Malesuada Rd.;-40.9099;0.55558;Gray Nicholson;250;Growing Plants;false;amet.massa@Curabitur.co.uk;lorem
14;Urna Et Arcu Incorporated;296422-0780;1980-03-13;Falkland Islands;51-352;Genk;Ap #126-6407 Ullamcorper, St.;-48.30411;166.02567;Joel Bartlett;48;Growing Plants;true;egestas.nunc@lobortis.net;enim
15;Nam Porttitor Scelerisque Industries;832132-1518;1982-04-13;Ireland;926236;Remscheid;P.O. Box 648, 9240 Suspendisse St.;34.05535;71.44296;Cain Coleman;117;Car;true;quam.Curabitur.vel@Vivamusnibhdolor.co.uk;Pellentesque
16;Mauris PC;038700-0656;1989-02-16;Dominica;57717;Norrköping;Ap #859-4029 Vivamus Av.;-79.15152;-16.95243;Joshua Farley;352;Building Industry;true;lacinia.Sed@mauriseu.ca;faucibus
17;Rhoncus Nullam Velit LLP;113075-2072;1977-01-29;Lesotho;98940;Ipís;3927 Adipiscing Av.;-5.63582;156.31194;Grady Brady;310;Car;true;commodo@conguea.com;adipiscing
18;Sagittis Placerat PC;897659-4542;2000-07-27;Marshall Islands;5625;Dokkum;1405 Mauris St.;-39.51426;58.90849;Hoyt Sparks;134;Car;true;in.consequat@tellusidnunc.net;amet
19;Ligula Aliquam Erat PC;349714-9892;1998-04-19;Sri Lanka;18789-978;Kalat;9174 Morbi Street;66.41582;41.43761;Jamal Miller;352;IT;false;Cras.dolor@egestashendrerit.edu;magna.
20;Enim Consequat Corporation;468296-7726;1993-11-06;Bosnia and Herzegovina;25017;Kassel;207-8810 Eleifend Street;18.59296;169.04322;Blake Armstrong;495;Car;false;facilisi.Sed.neque@Cras.ca;sodales
21;Vulputate Mauris Limited;015506-0312;1978-03-28;Czech Republic;92256;Bath;P.O. Box 593, 1211 Enim Rd.;-69.00851;-146.53661;Griffin Mcgowan;216;Building Industry;false;In@erat.org;justo.
22;Aliquam Enim Corporation;298024-3410;1997-04-15;Finland;40134-63707;Arbre;P.O. Box 812, 6627 Ridiculus Rd.;33.13149;113.64074;Ralph Everett;94;Building Industry;true;Nulla@odio.co.uk;risus
23;Ac Consulting;213715-0500;1994-05-08;Norway;27343;Maransart;Ap #733-9569 Tempor Street;53.31115;-122.27091;Hiram Jimenez;441;Growing Plants;true;tortor.dictum.eu@Integer.co.uk;eleifend.
24;Aliquet Phasellus Foundation;299975-9497;2016-07-19;Saint Lucia;94634;Denderbelle;P.O. Box 350, 5648 Rutrum. Av.;-19.41137;63.3624;Ezra Garrison;442;IT;true;aliquet.molestie@dolor.edu;lectus
25;Vel Lectus Consulting;284240-1461;1980-07-23;Bermuda;069530;Ingelheim;868-3049 Aliquam Ave;-69.10617;-39.25967;Cain Colon;388;Growing Plants;true;vulputate@odioNaminterdum.org;Aliquam
26;Diam Lorem Auctor Limited;737022-2007;2014-08-06;Czech Republic;03025;Retiro;115-4328 Mollis. Avenue;25.26154;88.27236;Lucian Guthrie;55;Car;true;iaculis.odio@risusodioauctor.org;felis.
27;Fusce Aliquet LLC;505774-5464;2012-07-07;French Guiana;56191;Sambreville;P.O. Box 611, 2079 A Street;-45.02808;-32.71053;Gray Elliott;232;Building Industry;true;Duis.a.mi@faucibus.org;accumsan
28;Duis Risus Odio Associates;664171-0568;1981-07-29;Martinique;42584;Salamanca;621-155 Non Rd.;-56.14818;-23.17769;Justin Deleon;229;Car;false;rhoncus.Proin@nullaatsem.org;id
29;Mattis Ornare Incorporated;644302-8698;1976-06-18;Macao;492928;Leipzig;Ap #418-6201 Aliquam Av.;-39.22581;42.64547;Kareem Freeman;346;Growing Plants;false;commodo@mauris.com;lacus.
30;Nisl Corp.;446969-7454;1979-09-25;China;18662;Znamensk;527-6157 Feugiat St.;-71.06829;-7.7661;Philip Garcia;405;Car;false;faucibus@nibhQuisque.net;enim.
31;Ligula Aenean Gravida Consulting;165190-5026;1977-02-06;Suriname;51530;Brighton;528-2561 Morbi Ave;20.87619;37.10334;Rooney Gardner;101;Building Industry;true;risus.Duis.a@malesuadafames.ca;urna.
32;Cras Sed Institute;793259-0073;2018-10-28;Tonga;Z8134;Sitapur;976-2786 Neque Ave;-78.81951;102.88379;Lucius Miller;435;Growing Plants;false;porttitor.scelerisque.neque@lectusCum.edu;Nunc
33;Nibh Ltd;609207-8762;2007-11-21;Kiribati;T49 8AU;Chimbarongo;829-2022 Dis Ave;-46.72476;147.20419;Gannon Park;320;Building Industry;false;in.faucibus@vulputate.net;ipsum.
34;"Curae; Phasellus Limited";308488-6708;2009-05-22;Kyrgyzstan;MX2C 2DE;Ebenthal in Kärnten;703-8299 Tellus. St.;55.56007;57.54254;Levi Vance;25;Building Industry;false;cursus.et.eros@urnaNuncquis.org;amet
35;Nec Diam PC;384120-5713;1989-06-14;Jersey;Z5716;Ciudad Obregón;P.O. Box 671, 5515 Ornare St.;50.92743;-127.58284;Neil Hampton;62;Car;true;magna.tellus@Quisquetinciduntpede.edu;Integer
36;Sem Egestas Blandit Foundation;298751-6321;1976-09-20;Congo, the Democratic Republic of the;L0Z 4Y2;Alcalá de Henares;Ap #589-6402 In Av.;-35.6126;-132.46325;Steel Watkins;291;Growing Plants;false;dictum@necleo.net;urna
37;Enim Foundation;479882-8747;2017-02-11;Central African Republic;E4T 4W7;Tonk;P.O. Box 250, 6935 Lorem, St.;71.15153;-22.73678;Oleg Walter;303;Growing Plants;false;montes.nascetur@mattisvelit.com;eget,
38;Orci Company;193154-2755;2004-12-25;Singapore;RE42 1LB;Madrid;944-3039 Consectetuer Rd.;-17.89947;177.50542;Hunter Walls;319;Food;true;Suspendisse.aliquet.molestie@utcursus.com;at
39;Nisi Magna Industries;458912-8406;1995-05-12;Lithuania;C88 1SA;Bonnyrigg;540-4734 Nisi St.;-40.42055;126.4065;Baker Stephenson;321;Food;true;mattis.semper.dui@velit.co.uk;urna
